,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
0,deep river,CA,2020-09-13 18:08:01,46.1,-77.5,75,68,70.06999999999996,6.2
1,tual,ID,2020-09-13 18:08:02,-5.67,132.75,98,79,78.83599999999997,10.26
2,bredasdorp,ZA,2020-09-13 18:08:02,-34.53,20.04,38,62,57.469999999999956,9.8
3,butaritari,KI,2020-09-13 18:08:02,3.07,172.79,15,75,83.35399999999996,7.26
4,cape town,ZA,2020-09-13 18:02:54,-33.93,18.42,75,71,55.274000000000015,5.1
5,punta arenas,CL,2020-09-13 18:05:31,-53.15,-70.92,75,72,43.06999999999996,5.7
6,busselton,AU,2020-09-13 18:08:02,-33.65,115.33,95,59,56.26400000000004,2.65
7,chatellerault,FR,2020-09-13 18:08:02,46.8,0.53,0,46,70.06999999999996,2.6
8,gravdal,NO,2020-09-13 18:08:02,68.12,13.5,22,77,50.01799999999999,6.65
9,lebu,CL,2020-09-13 18:08:03,-37.62,-73.65,0,71,50.522000000000034,8.43
10,mao,ES,2020-09-13 18:08:03,39.89,4.27,0,83,73.66999999999996,2.1
11,carnarvon,AU,2020-09-13 18:05:27,-24.87,113.63,0,100,59.26999999999996,2.6
12,ilhabela,BR,2020-09-13 18:08:03,-23.78,-45.36,15,86,71.05999999999997,2.87
13,richards bay,ZA,2020-09-13 18:08:03,-28.78,32.04,0,62,73.14800000000002,7.28
14,kavieng,PG,2020-09-13 18:07:00,-2.57,150.8,56,75,84.10999999999999,6.04
15,avarua,CK,2020-09-13 18:06:12,-21.21,-159.78,97,69,75.46999999999997,4.6
16,saint-philippe,RE,2020-09-13 18:08:03,-21.36,55.77,20,77,68.26999999999995,3.6
17,mumford,GH,2020-09-13 18:08:04,5.26,-0.76,74,91,75.77599999999998,4.13
18,rikitea,PF,2020-09-13 18:08:04,-23.12,-134.97,10,85,74.19200000000001,6.37
19,halifax,CA,2020-09-13 17:59:36,44.65,-63.57,58,88,64.27400000000002,1.34
20,klaksvik,FO,2020-09-13 18:06:08,62.23,-6.59,99,87,44.86999999999996,1
21,tianpeng,CN,2020-09-13 18:08:04,30.99,103.94,40,100,68.26999999999995,2
22,khatanga,RU,2020-09-13 18:08:04,71.97,102.5,0,72,44.851999999999975,2.25
23,kruisfontein,ZA,2020-09-13 18:08:04,-34,24.73,0,64,53.54600000000005,4.55
24,ribeira grande,PT,2020-09-13 18:08:04,38.52,-28.7,67,82,72.82400000000001,7.86
25,terrace,CA,2020-09-13 18:05:17,54.52,-128.6,90,67,59.26999999999996,2.1
26,dawei,MM,2020-09-13 18:08:05,14.08,98.2,100,88,77.50399999999996,1.16
27,pahrump,US,2020-09-13 18:03:11,36.21,-115.98,0,5,100.27400000000002,4.47
28,port alfred,ZA,2020-09-13 18:08:05,-33.59,26.89,0,64,58.71199999999996,4.04
29,presidencia roque saenz pena,AR,2020-09-13 18:08:05,-26.79,-60.44,37,71,75.18200000000002,7.05
30,bluff,NZ,2020-09-13 18:08:05,-46.6,168.33,100,82,58.26199999999996,2.24
31,husavik,IS,2020-09-13 18:08:05,66.04,-17.34,75,75,44.86999999999996,2.1
32,port hardy,CA,2020-09-13 18:08:05,50.7,-127.42,90,93,55.66999999999996,1
33,safwah,,,,,,,,
34,chuy,UY,2020-09-13 18:08:06,-33.7,-53.46,99,97,57.45199999999998,3.99
35,yellowknife,CA,2020-09-13 18:08:06,62.46,-114.35,75,51,39.469999999999956,6.2
36,illoqqortoormiut,,,,,,,,
37,nikolskoye,RU,2020-09-13 18:08:06,59.7,30.79,20,81,55.274000000000015,6
38,marietta,US,2020-09-13 18:07:38,33.95,-84.55,75,58,87.27799999999996,1.5
39,sulangan,PH,2020-09-13 18:08:06,11.14,123.72,56,76,84.05600000000004,3.76
40,petropavlovsk-kamchatskiy,RU,2020-09-13 18:06:20,53.05,158.65,5,61,48.469999999999956,7
41,qaanaaq,GL,2020-09-13 18:08:07,77.48,-69.36,3,80,22.351999999999975,3.43
42,port lincoln,AU,2020-09-13 18:08:07,-34.73,135.87,4,87,54.608000000000004,2.3
43,grand river south east,,,,,,,,
44,srednekolymsk,RU,2020-09-13 18:08:07,67.45,153.68,0,65,47.62400000000001,2.52
45,mataura,NZ,2020-09-13 18:08:07,-46.19,168.86,100,82,58.26199999999996,2.24
46,mar del plata,AR,2020-09-13 18:08:07,-38,-57.56,94,57,52.069999999999965,2.6
47,krasnousolskiy,,,,,,,,
48,east london,ZA,2020-09-13 18:08:08,-33.02,27.91,52,57,62.74399999999997,3.04
49,narsaq,GL,2020-09-13 18:08:08,60.92,-46.05,0,35,43.06999999999996,2.6
50,mys shmidta,,,,,,,,
