,City,Country,Date,Latitude,Longitude,Cloudiness (%),Humidity (%),Max Temp (F),Wind Speed (mph)
51,tuktoyaktuk,CA,2020-09-13 18:06:13,69.45,-133.04,90,93,39.469999999999956,12.9
52,georgetown,MY,2020-09-13 18:04:33,5.41,100.34,20,88,79.06999999999996,1.5
53,colborne,CA,2020-09-13 18:08:08,44,-77.88,20,78,73.66999999999996,6.7
54,ushuaia,AR,2020-09-13 18:04:05,-54.8,-68.3,100,56,44.86999999999996,3.82
55,kaitangata,NZ,2020-09-13 18:08:08,-46.28,169.85,96,64,56.26400000000004,1.79
56,tessalit,ML,2020-09-13 18:08:09,20.2,1.01,0,12,96.65600000000003,4.44
57,hithadhoo,MV,2020-09-13 18:04:22,-0.6,73.08,80,69,81.55399999999995,2.31
58,sao filipe,CV,2020-09-13 18:08:09,14.9,-24.5,95,81,79.21400000000003,4.43
59,kananga,CD,2020-09-13 18:08:09,-5.9,22.42,0,54,75.542,0.7
60,sidlaghatta,IN,2020-09-13 18:08:09,13.39,77.86,75,100,68.26999999999995,4.6
61,samusu,,,,,,,,
62,isangel,VU,2020-09-13 18:08:09,-19.55,169.27,90,83,73.66999999999996,4.1
63,hermanus,ZA,2020-09-13 18:08:09,-34.42,19.23,27,74,55.274000000000015,3.58
64,alice springs,AU,2020-09-13 18:08:10,-23.7,133.88,0,59,61.069999999999965,3.1
65,chokurdakh,RU,2020-09-13 18:07:52,70.63,147.92,50,64,48.29000000000002,1.81
66,oranjemund,NA,2020-09-13 18:08:10,-28.55,16.43,0,77,55.30999999999998,3.57
67,hilo,US,2020-09-13 18:06:23,19.73,-155.09,75,61,82.66999999999996,3.1
68,north bend,US,2020-09-13 18:04:58,43.41,-124.22,90,100,73.27400000000002,3.6
69,tabiauea,,,,,,,,
70,muriwai beach,NZ,2020-09-13 18:08:10,-36.82,174.45,71,61,60.27799999999996,0.45
71,dungarpur,IN,2020-09-13 18:08:10,23.83,73.72,100,92,76.49600000000005,3.05
72,acurenam,GQ,2020-09-13 18:08:10,1.03,10.65,78,97,67.892,2.08
73,barentsburg,,,,,,,,
74,airai,TL,2020-09-13 18:08:11,-8.93,125.41,7,67,55.75999999999998,1.72
75,ciudad real,ES,2020-09-13 18:08:11,39,-4,14,41,77.26999999999995,2.42
76,lagoa,PT,2020-09-13 18:08:11,39.05,-27.98,82,81,72.734,9.75
77,jamestown,US,2020-09-13 18:06:34,42.1,-79.24,20,64,71.27599999999998,6.7
78,nsanje,MW,2020-09-13 18:08:11,-16.92,35.26,20,68,72.46400000000003,1.79
79,manadhoo,MV,2020-09-13 18:08:11,5.77,73.38,100,77,82.45399999999995,5.2
80,barrow,US,2020-09-13 18:06:43,71.29,-156.79,90,86,41.26999999999996,7.2
81,vestmannaeyjar,IS,2020-09-13 18:08:11,63.44,-20.27,100,83,47.75,11.01
82,vaini,TO,2020-09-13 18:08:12,-21.2,-175.2,75,73,70.06999999999996,4.1
83,vostok,RU,2020-09-13 18:08:12,46.49,135.88,100,68,45.48200000000001,1.6
84,asau,RO,2020-09-13 18:08:12,46.43,26.4,5,94,58.26199999999996,2.27
85,vao,NC,2020-09-13 18:06:09,-22.67,167.48,78,81,69.81799999999998,8.51
86,honiara,SB,2020-09-13 18:08:12,-9.43,159.95,20,74,86.26999999999995,1.5
87,constitucion,CL,2020-09-13 18:03:22,-35.33,-72.42,0,59,57.866000000000014,6.71
88,albany,US,2020-09-13 18:08:12,42.6,-73.97,74,79,73.27400000000002,2.73
89,seal beach,US,2020-09-13 18:08:12,33.74,-118.1,1,57,81.26600000000002,4.6
90,longyearbyen,SJ,2020-09-13 18:08:13,78.22,15.64,75,87,37.66999999999996,4.6
91,bronnoysund,NO,2020-09-13 18:08:13,65.46,12.2,100,76,52.069999999999965,8.7
92,berezovyy,RU,2020-09-13 18:08:13,51.67,135.7,40,79,60.61999999999996,0.75
93,jibuti,DJ,2020-09-13 18:08:13,11.5,42.5,1,44,95.26999999999995,2.09
94,belushya guba,,,,,,,,
95,gamba,GA,2020-09-13 18:08:13,-2.65,10,100,85,75.29000000000002,3.1
96,hami,CN,2020-09-13 18:08:13,42.8,93.45,100,22,66.23599999999996,3.9
97,orangeburg,US,2020-09-13 18:08:13,33.49,-80.86,75,58,88.26799999999999,4.1
98,hobart,AU,2020-09-13 18:07:14,-42.88,147.33,40,81,47.26400000000003,5.1
99,bo phloi,TH,2020-09-13 18:08:14,14.32,99.52,99,89,77.21600000000001,0.75
100,merauke,ID,2020-09-13 18:08:14,-8.47,140.33,42,77,75.59600000000006,6.73
101,kodiak,US,2020-09-13 18:08:14,57.79,-152.41,1,54,57.469999999999956,2.6
102,san quintin,MX,2020-09-13 18:08:14,30.48,-115.95,0,52,79.88000000000005,6.82
103,lavrentiya,RU,2020-09-13 18:06:25,65.58,-171,100,94,42.49399999999997,7.81
104,paamiut,GL,2020-09-13 18:08:14,61.99,-49.67,1,71,37.274000000000015,1.54
105,kapaa,US,2020-09-13 18:08:14,22.08,-159.32,75,62,86.26999999999995,4.6
106,krasnoselkup,RU,2020-09-13 18:06:21,65.7,82.47,100,92,52.556000000000026,4.01
107,fangshan,CN,2020-09-13 18:08:15,39.7,115.99,100,84,71.27599999999998,0.75
108,tupancireta,BR,2020-09-13 18:08:15,-29.08,-53.84,64,83,65.01199999999996,1.85
109,aketi,CD,2020-09-13 18:08:15,2.74,23.78,100,92,71.99600000000005,0.46
110,provideniya,RU,2020-09-13 18:08:15,64.38,-173.3,90,93,46.66999999999996,5
111,attawapiskat,,,,,,,,
112,acarau,BR,2020-09-13 18:08:15,-2.89,-40.12,38,75,78.85399999999996,8.4
113,norman wells,CA,2020-09-13 18:08:15,65.28,-126.83,40,56,43.06999999999996,1
114,jati,PK,2020-09-13 18:08:16,24.35,68.27,26,69,86.26999999999995,4
115,aksarka,RU,2020-09-13 18:08:16,66.56,67.8,98,88,44.15,4.6
116,paracuru,BR,2020-09-13 18:08:16,-3.41,-39.03,60,68,80.27599999999998,8.49
117,cabo san lucas,MX,2020-09-13 18:08:16,22.89,-109.91,40,70,88.26799999999999,5.1
118,bethel,US,2020-09-13 18:05:59,41.37,-73.41,70,82,71.27599999999998,2.55
119,aguimes,ES,2020-09-13 18:08:16,27.91,-15.45,20,78,75.46999999999997,6.7
120,dikson,RU,2020-09-13 18:08:16,73.51,80.55,76,93,45.14000000000002,9
121,barcelona,ES,2020-09-13 18:06:13,41.39,2.16,0,78,74.26400000000004,0.88
122,nizwa,OM,2020-09-13 18:08:17,22.93,57.53,7,33,84.90199999999999,0.62
123,rio gallegos,AR,2020-09-13 18:07:00,-51.62,-69.22,75,34,52.069999999999965,6.7
124,cidreira,BR,2020-09-13 18:05:52,-30.18,-50.21,52,94,64.11199999999997,3.58
125,xining,CN,2020-09-13 18:08:17,36.62,101.77,62,81,49.891999999999996,0.52
126,denpasar,ID,2020-09-13 18:05:15,-8.65,115.22,20,83,79.06999999999996,3.1
127,mandalgovi,MN,2020-09-13 18:06:25,45.76,106.27,0,62,40.964000000000034,2.98
128,puerto ayora,EC,2020-09-13 18:06:21,-0.74,-90.35,20,60,75.46999999999997,9.3
129,tasiilaq,GL,2020-09-13 18:08:17,65.61,-37.64,92,74,35.86999999999996,1
130,elat,IL,2020-09-13 18:06:15,29.56,34.95,0,33,91.66999999999996,5.7
131,iquique,CL,2020-09-13 18:07:32,-20.22,-70.14,59,63,62.86999999999996,7.7
132,sola,VU,2020-09-13 18:08:17,-13.88,167.55,90,94,77.26999999999995,6.2
133,sentyabrskiy,,,,,,,,
134,labuhan,ID,2020-09-13 18:08:18,-6.88,112.21,56,80,76.334,3.88
135,kodinsk,RU,2020-09-13 18:08:18,58.69,99.18,100,93,43.43000000000004,1.51
136,atuona,PF,2020-09-13 18:08:18,-9.8,-139.03,1,77,78.61999999999996,7.18
137,sinnamary,GF,2020-09-13 18:08:18,5.38,-52.95,0,82,81.14000000000001,4.44
138,stolin,BY,2020-09-13 18:08:18,51.89,26.85,61,82,54.067999999999984,2.24
139,leningradskiy,RU,2020-09-13 18:08:19,69.38,178.42,100,79,43.016000000000005,1.13
140,singaraja,ID,2020-09-13 18:08:19,-8.11,115.09,19,69,75.27200000000005,2.34
141,anadyr,RU,2020-09-13 18:08:19,64.75,177.48,40,93,46.66999999999996,9
142,warqla,,,,,,,,
143,faya,SA,2020-09-13 18:08:19,18.39,42.45,0,15,73.66999999999996,3.09
144,brits,ZA,2020-09-13 18:08:19,-25.63,27.78,0,47,62.27599999999999,3.6
145,wajima,JP,2020-09-13 18:08:19,37.4,136.9,39,77,72.608,8.47
146,balabac,PH,2020-09-13 18:08:20,7.99,117.06,100,75,81.82400000000001,0.26
147,yerofey pavlovich,RU,2020-09-13 18:08:20,53.97,121.97,75,95,49.71199999999996,1.37
148,severo-kurilsk,RU,2020-09-13 18:08:20,50.68,156.12,3,76,51.04399999999997,7.63
149,laguna,US,2020-09-13 18:08:20,38.42,-121.42,90,32,86.26999999999995,3.53
150,huanren,CN,2020-09-13 18:08:20,41.26,125.37,0,91,53.83399999999999,0.9
151,kloulklubed,PW,2020-09-13 18:08:20,7.04,134.26,90,94,77.26999999999995,4.6
152,terra santa,BR,2020-09-13 18:08:21,-2.1,-56.49,57,46,88.34000000000003,0.78
153,ngukurr,,,,,,,,
154,ustka,PL,2020-09-13 18:08:21,54.58,16.86,29,80,62.83399999999999,6.93
155,nantucket,US,2020-09-13 18:08:21,41.28,-70.1,75,77,68.26999999999995,4.6
156,toliary,,,,,,,,
157,bandipur,NP,2020-09-13 18:08:21,27.93,84.42,79,100,66.79399999999998,0.81
158,taoudenni,ML,2020-09-13 18:08:21,22.68,-3.98,36,11,104.792,4.36
159,makaleng,BW,2020-09-13 18:08:21,-20.9,27.28,0,35,62.6,2.48
160,katha,,,,,,,,
161,tete,MZ,2020-09-13 18:08:22,-16.16,33.59,59,45,82.66999999999996,5.1
162,kuching,MY,2020-09-13 18:08:01,1.55,110.33,40,100,75.46999999999997,0.5
163,taolanaro,,,,,,,,
164,mgachi,RU,2020-09-13 18:08:22,51.05,142.27,0,61,56.55199999999998,2.23
165,lompoc,US,2020-09-13 18:08:22,34.64,-120.46,1,68,68.26999999999995,5.7
166,karoi,ZW,2020-09-13 18:08:22,-16.81,29.69,16,68,59.99000000000002,2.11
167,olafsvik,IS,2020-09-13 18:08:22,64.89,-23.71,99,77,46.61600000000001,5.42
168,upernavik,GL,2020-09-13 18:08:22,72.79,-56.15,98,95,32.19800000000002,4.21
169,ilulissat,GL,2020-09-13 18:08:22,69.22,-51.1,0,54,30.46999999999996,1
170,winnemucca,US,2020-09-13 18:08:23,40.97,-117.74,1,4,93.46999999999997,4.6
171,komsomolskiy,UZ,2020-09-13 18:08:23,40.43,71.72,0,48,62.86999999999996,3.1
172,hirado,JP,2020-09-13 18:08:23,33.36,129.55,75,88,70.06999999999996,2.6
173,saskylakh,RU,2020-09-13 18:08:23,71.92,114.08,100,77,46.09399999999997,2.23
174,ponta delgada,PT,2020-09-13 18:08:23,37.73,-25.67,20,78,71.86999999999996,4.1
175,bichena,ET,2020-09-13 18:07:10,10.45,38.2,21,85,52.80800000000001,0.96
176,new norfolk,AU,2020-09-13 18:08:23,-42.78,147.06,34,66,46.274000000000015,1.34
177,portland,US,2020-09-13 17:57:43,45.52,-122.68,90,82,62.86999999999996,1.04
178,icod de los vinos,ES,2020-09-13 18:08:24,28.37,-16.71,8,88,76.26199999999996,0.45
179,rawson,AR,2020-09-13 18:07:29,-43.3,-65.1,0,51,49.36999999999996,2.82
180,nokaneng,BW,2020-09-13 18:08:24,-19.67,22.27,0,28,64.45399999999995,2.24
181,sapernoye,RU,2020-09-13 18:08:24,60.72,29.95,0,79,50.26999999999996,3.98
182,lagos,NG,2020-09-13 18:00:02,6.58,3.75,20,74,80.86999999999996,1.5
183,tarudant,,,,,,,,
184,fortuna,US,2020-09-13 18:08:25,40.6,-124.16,1,87,62.27599999999999,3.6
185,beringovskiy,RU,2020-09-13 18:06:13,63.05,179.32,100,96,49.1,3.99
186,yulara,AU,2020-09-13 18:07:59,-25.24,130.99,0,48,62.86999999999996,4.6
187,half moon bay,US,2020-09-13 18:08:26,37.46,-122.43,75,72,72.26600000000002,3.1
188,puerto leguizamo,CO,2020-09-13 18:08:26,-0.19,-74.78,58,92,78.85399999999996,1.8
189,touros,BR,2020-09-13 18:08:27,-5.2,-35.46,20,78,77.26999999999995,4.6
190,moose factory,CA,2020-09-13 18:08:27,51.26,-80.61,90,62,53.86999999999996,8.7
191,moshupa,BW,2020-09-13 18:08:27,-24.78,25.42,0,31,64.66999999999996,3.1
192,westport,US,2020-09-13 18:08:27,41.14,-73.36,62,83,73.27400000000002,0.45
193,byron bay,AU,2020-09-13 18:01:52,-28.65,153.62,10,93,64.27400000000002,1.32
194,millau,FR,2020-09-13 18:08:28,44.08,2.92,0,60,72.26600000000002,4.6
195,flin flon,CA,2020-09-13 18:08:28,54.77,-101.86,40,50,53.86999999999996,2.6
196,mount gambier,AU,2020-09-13 18:08:28,-37.83,140.77,90,93,46.66999999999996,2.6
197,mount isa,AU,2020-09-13 18:08:15,-20.73,139.5,0,33,73.66999999999996,4.1
198,baykit,RU,2020-09-13 18:08:28,61.67,96.37,1,85,45.751999999999974,0.77
199,san cristobal,VE,2020-09-13 18:08:19,7.77,-72.22,40,46,89.86999999999996,8.2
200,ulaangom,MN,2020-09-13 18:08:29,49.98,92.07,0,70,41.32400000000001,0.16
201,college,US,2020-09-13 18:08:29,64.86,-147.8,1,53,52.069999999999965,0.45
202,korla,CN,2020-09-13 18:08:29,41.76,86.15,0,72,69.27799999999996,1.34
203,kandrian,PG,2020-09-13 18:08:29,-6.22,149.55,67,84,79.17799999999997,5.88
204,nemuro,JP,2020-09-13 18:08:29,43.32,145.57,100,66,58.225999999999985,4.92
205,lolua,,,,,,,,
206,santiago del estero,AR,2020-09-13 18:07:17,-27.8,-64.26,48,50,75.88399999999999,3.28
207,nanortalik,GL,2020-09-13 18:07:31,60.14,-45.24,0,74,38.174000000000014,3.13
208,arakhova,,,,,,,,
209,saint-pierre,RE,2020-09-13 18:08:30,-21.34,55.48,20,77,68.26999999999995,3.6
210,tucuman,AR,2020-09-13 18:08:30,-26.82,-65.22,18,36,80.86999999999996,4.1
211,severnyy,RU,2020-09-13 18:08:30,50.68,36.55,95,33,62.86999999999996,5
212,dickinson,US,2020-09-13 18:08:30,29.46,-95.05,75,55,92.26400000000004,2.1
213,pisco,PE,2020-09-13 18:08:30,-13.7,-76.22,5,68,68.26999999999995,6.2
214,divnogorsk,RU,2020-09-13 18:08:31,55.96,92.36,31,100,35.86999999999996,0.33
215,amderma,,,,,,,,
216,lorengau,PG,2020-09-13 18:08:31,-2.02,147.27,96,81,83.03000000000004,5.56
217,khilok,RU,2020-09-13 18:08:31,51.37,110.47,79,89,39.001999999999974,1.26
218,bandarbeyla,SO,2020-09-13 18:08:31,9.49,50.81,66,72,80.36600000000001,9.41
219,pauini,BR,2020-09-13 18:08:31,-7.71,-66.98,77,43,91.04000000000002,0.95
220,lata,PT,2020-09-13 18:08:31,40.16,-8.33,95,77,71.27599999999998,1.79
221,lethem,GY,2020-09-13 18:08:31,3.38,-59.8,90,65,83.93000000000004,1.41
222,marcona,,,,,,,,
223,chapais,CA,2020-09-13 18:08:32,49.78,-74.85,90,93,57.469999999999956,7.7
224,saint-francois,FR,2020-09-13 18:08:32,46.42,3.91,0,59,66.46999999999997,1
225,hirara,JP,2020-09-13 18:08:32,24.8,125.28,75,100,77.26999999999995,0.5
226,guarapari,BR,2020-09-13 18:08:32,-20.67,-40.5,40,78,75.46999999999997,4.1
227,lasa,IT,2020-09-13 18:08:32,46.62,10.7,39,87,59.26999999999996,1
228,samarai,PG,2020-09-13 18:08:32,-10.62,150.67,83,81,77.70199999999997,3.39
229,alta floresta,BR,2020-09-13 18:08:33,-9.88,-56.09,49,16,90.62599999999999,1.78
230,torbay,CA,2020-09-13 18:08:33,47.67,-52.73,75,58,59.26999999999996,2.6
231,deer lake,CA,2020-09-13 18:08:33,49.17,-57.43,75,72,61.069999999999965,2.6
232,martapura,ID,2020-09-13 18:08:33,-3.42,114.85,99,100,73.66999999999996,1
233,vardo,NO,2020-09-13 18:08:33,70.37,31.11,75,87,46.66999999999996,3.1
234,lalomanu,,,,,,,,
235,horsham,GB,2020-09-13 18:08:33,51.06,-0.33,0,93,59.26999999999996,1.55
236,castro,BR,2020-09-13 18:08:33,-24.79,-50.01,8,47,70.17799999999997,2.33
237,kochubey,RU,2020-09-13 18:08:34,44.39,46.58,0,73,65.03000000000004,3.39
238,gondal,IN,2020-09-13 18:08:34,21.97,70.8,75,94,82.27400000000002,2.6
239,sukhobezvodnoye,RU,2020-09-13 18:08:34,57.05,44.89,100,93,51.92599999999999,3.35
240,namatanai,PG,2020-09-13 18:08:34,-3.67,152.43,5,76,82.75999999999999,3.74
241,necochea,AR,2020-09-13 18:08:34,-38.55,-58.74,15,86,47.26400000000003,1.79
242,ngunguru,NZ,2020-09-13 18:08:34,-35.62,174.5,82,3,59.26999999999996,4.47
243,gazanjyk,TM,2020-09-13 18:08:35,39.24,55.52,0,39,70.28599999999997,1.25
244,lake city,US,2020-09-13 18:08:35,30.19,-82.64,1,94,75.46999999999997,1.5
245,ukiah,US,2020-09-13 18:08:35,39.15,-123.21,90,22,93.27200000000005,3.77
246,amboasary,MG,2020-09-13 18:08:35,-25.03,46.38,0,85,67.40600000000003,3.92
247,the valley,AI,2020-09-13 18:03:43,18.22,-63.06,20,70,88.06999999999996,5.1
248,gracac,HR,2020-09-13 18:08:35,44.3,15.85,0,50,78.27799999999996,3.6
249,ngaoundere,CM,2020-09-13 18:08:35,7.32,13.58,100,96,66.07400000000001,1.69
250,sharjah,AE,2020-09-13 18:05:48,25.36,55.4,57,45,97.06999999999996,1
251,kishapu,TZ,2020-09-13 18:08:36,-3.62,33.87,63,42,72.30199999999998,5
252,azimur,,,,,,,,
253,gat,IL,2020-09-13 18:08:36,31.61,34.76,0,100,81.26600000000002,2.14
254,mahebourg,MU,2020-09-13 18:08:36,-20.41,57.7,40,73,71.86999999999996,4.6
255,trincomalee,LK,2020-09-13 18:08:36,8.57,81.23,100,76,81.42799999999997,8.06
256,rocha,UY,2020-09-13 18:08:36,-34.48,-54.33,76,96,53.76199999999996,3.07
257,louisbourg,,,,,,,,
258,hohhot,CN,2020-09-13 18:08:36,40.81,111.65,46,75,44.86999999999996,3
259,birjand,IR,2020-09-13 18:08:37,32.87,59.22,0,22,59.26999999999996,4.1
260,praia da vitoria,PT,2020-09-13 18:08:37,38.73,-27.07,20,83,73.66999999999996,4.72
261,janauba,BR,2020-09-13 18:08:37,-15.8,-43.31,0,33,77.30600000000004,3.94
262,yarumal,CO,2020-09-13 18:08:37,6.96,-75.42,100,100,61.43000000000004,0.96
263,crotone,IT,2020-09-13 18:08:37,39.09,17.12,3,66,78.63800000000005,4.63
264,sarankhola,BD,2020-09-13 18:08:37,22.31,89.79,94,90,80.726,1.42
265,shenzhen,CN,2020-09-13 18:08:37,22.55,114.07,35,99,81.26600000000002,3.87
266,souillac,MU,2020-09-13 18:08:16,-20.52,57.52,40,73,71.86999999999996,4.6
267,cassia,BR,2020-09-13 18:08:38,-20.58,-46.92,0,30,73.4,1.32
268,savannah bight,HN,2020-09-13 18:08:38,16.45,-85.85,23,71,85.19000000000003,3.65
269,maniitsoq,GL,2020-09-13 18:08:38,65.42,-52.9,0,74,37.32799999999996,2.56
270,aljezur,PT,2020-09-13 18:08:38,37.32,-8.8,94,91,67.26199999999996,0.92
271,codrington,AU,2020-09-13 18:08:38,-38.27,141.97,1,91,48.938000000000045,3.33
272,dafeng,CN,2020-09-13 18:08:39,23.45,108.59,100,89,75.542,1.18
273,orotukan,RU,2020-09-13 18:08:39,62.27,151.7,0,64,44.33000000000004,1.64
274,esperance,AU,2020-09-13 18:08:39,-33.87,121.9,27,100,48.469999999999956,5.1
275,port blair,IN,2020-09-13 18:08:39,11.67,92.75,98,78,82.058,5.41
276,broome,US,2020-09-13 18:08:39,42.25,-75.83,90,93,67.26199999999996,3.6
277,nizhneyansk,,,,,,,,
278,ust-maya,RU,2020-09-13 18:08:39,60.42,134.53,82,93,54.661999999999956,1.85
279,maragogi,BR,2020-09-13 18:08:39,-9.01,-35.22,41,77,74.35399999999996,4.49
280,vila velha,BR,2020-09-13 18:06:06,-20.33,-40.29,40,78,75.46999999999997,4.1
281,alofi,NU,2020-09-13 18:08:40,-19.06,-169.92,75,64,73.66999999999996,7.2
282,port macquarie,AU,2020-09-13 18:07:46,-31.43,152.92,13,91,60.27799999999996,0.45
283,kamenskoye,,,,,,,,
284,mayo,US,2020-09-13 18:08:40,38.89,-76.51,40,83,79.26799999999999,4.1
285,kavaratti,IN,2020-09-13 18:08:40,10.57,72.64,100,79,82.04000000000002,8.53
286,arraial do cabo,BR,2020-09-13 18:06:56,-22.97,-42.03,0,83,73.66999999999996,10.3
287,adrar,MR,2020-09-13 18:08:40,20.5,-10.07,56,13,100.65199999999997,3.68
288,ternate,ID,2020-09-13 18:08:40,0.8,127.4,93,81,79.84399999999997,4
289,mogadishu,SO,2020-09-13 18:05:12,2.04,45.34,93,81,79.21400000000003,6.92
290,vanavara,RU,2020-09-13 18:08:41,60.34,102.28,100,95,42.04399999999997,1.95
291,ketchikan,US,2020-09-13 18:08:41,55.34,-131.65,1,59,62.86999999999996,5.1
292,bria,CF,2020-09-13 18:08:41,6.54,21.99,99,92,70.88000000000005,0.9
293,goderich,CA,2020-09-13 18:08:41,43.75,-81.72,41,81,72.26600000000002,5.63
294,faanui,PF,2020-09-13 18:08:41,-16.48,-151.75,73,77,78.584,4.71
295,ciamis,ID,2020-09-13 18:08:41,-7.33,108.35,80,90,69.31400000000004,0.48
296,luena,AO,2020-09-13 18:08:42,-11.78,19.92,0,30,63.08599999999997,1.59
297,oriximina,BR,2020-09-13 18:08:42,-1.77,-55.87,65,51,87.80000000000001,1.31
298,okhotsk,RU,2020-09-13 18:08:42,59.38,143.3,0,57,59.288000000000046,1.64
299,tiksi,RU,2020-09-13 18:08:42,71.69,128.87,13,87,41.05399999999995,1.02
300,yerbogachen,RU,2020-09-13 18:08:42,61.28,108.01,0,93,41.95399999999995,1.81
301,port elizabeth,ZA,2020-09-13 18:08:42,-33.92,25.57,0,71,55.66999999999996,4.1
302,west wendover,US,2020-09-13 18:08:42,40.74,-114.07,1,11,82.66999999999996,3.1
303,panaba,MX,2020-09-13 18:08:43,21.28,-88.27,55,78,85.47799999999997,3.4
304,vanimo,PG,2020-09-13 18:08:43,-2.67,141.3,80,83,79.88000000000005,3.54
305,xinmin,CN,2020-09-13 18:08:43,41.99,122.83,32,100,55.66999999999996,1
306,saint george,US,2020-09-13 18:08:43,37.1,-113.58,1,8,97.26799999999999,2.6
307,tura,IN,2020-09-13 18:08:43,25.52,90.22,100,98,74.01199999999996,2.42
308,tonota,BW,2020-09-13 18:08:43,-21.48,27.48,0,39,61.411999999999956,3.07
